CITY,LATITUDE,LONGITUDE
alsenborn,49.4833,7.9167
alsenz,49.7167,7.8167
alsfeld,50.75,9.2667
alsheim,49.7681,8.3403
alsleben,51.7,11.6667
alsmoos,48.5167,11.0333
alstaden,51.4667,6.8333
alstatte,51.95,7.2667
alsterdorf,53.6,10
alstertal,53.6333,10.05
alswede,52.3333,8.5667
alsweiler,49.4667,7.0667
alt barenaue,52.4167,8.1167
alt bennebek,54.3833,9.4333
alt bork,52.1833,12.8667
alt brieselang,52.6167,13.0167
alt buchhorst,52.4333,13.85
alt bukow,54,11.6
alt duvenstedt,54.3667,9.65
alt falkenhagen,53.5833,12.6833
alt gaarz,53.2833,12.7
alt garge,53.2667,10.8
alt golm,52.3,14.1167
alt jabel,53.25,11.1667
alt jargenow,53.9667,13.3167
alt kabelich,53.4833,13.4833
alt karin,54,11.7667
alt kosenow,53.7833,13.75
alt krenzlin,53.3167,11.3
alt madlitz,52.3833,14.2833
alt mahlisch,52.4667,14.4167
alt mengede,51.5667,7.4
alt meteln,53.75,11.35
alt molln,53.6167,10.65
alt muhlendorf,54.2167,9.8667
alt negentin,54,13.35
alt pansow,54.05,13.25
alt panstorf,53.75,12.6667
alt plestlin,53.9667,13.2333
alt ravenhorst,54.2,12.7333
alt reddevitz,54.3333,13.6833
alt rehse,53.5,13.1667
alt ruppin,52.95,12.85
alt sammit,53.65,12.2167
alt sassitz,54.4,13.4
alt schadow,52.1333,13.95
alt schlagsdorf,53.75,11.55
alt schonau,53.5847,12.7338
alt schwerin,53.5167,12.3667
alt stahnsdorf,52.2833,13.8833
alt stassow,54.0333,12.6
alt steinbeck,53.6333,11.0833
alt suhrkow,53.8,12.65
alt tellin,53.85,13.25
alt tucheband,52.5333,14.5167
alt wallmoden,52.0333,10.3167
alt wetten,51.5833,6.2833
alt zachun,53.4833,11.3333
alt zauche,51.9167,14.0167
alt zeschdorf,52.4333,14.4333
altach,47.5667,10.2833
altastenberg,51.1833,8.4667
altbabensham,48.0833,12.2833
altbach,48.7333,9.3833
altbarnim,52.6833,14.2667
altbelgern,51.4833,13.1833
altbellin,52.4833,12.1667
altbensdorf,52.4167,12.3333
altbernsdorf,51.05,14.85
altbessingen,50.0333,9.9833
altbierlingen,48.25,9.75
altbrandsleben,52.0667,11.25
altbreitenfelderhof,49.3833,7.3
altbulach,48.6667,8.7167
altchemnitz,50.8167,12.9167
altdobern,51.65,14.0333
altdorf,48.15,12.1833
alte drusel,51.3,9.4
alteburg,50.9876,12.4368
altefahr,54.3167,13.1167
alteglofsheim,48.9167,12.2
alteiselfing,48.0333,12.25
alten,51.8167,12.2
alten buseck,50.6167,8.75
altena,51.3,7.6667
altenahr,50.5167,7
altenau,51.4167,13.2667
altenbach,51.35,12.6833
altenbamberg,49.7833,7.8333
altenbeichlingen,51.2167,11.2333
altenbeken,51.7667,8.9333
altenberg,50.7667,13.7667
altenberga,50.8333,11.5333
altenberge,52.05,7.4667
altenbergen,50.8333,10.6167
altenbeuern,47.7833,12.15
altenbeuren,47.7833,9.3167
altenbeuthen,50.6,11.6
altenbochum,51.4833,7.25
altenboitzen,52.8167,9.5167
altenbrak,51.7333,10.9333
altenbrendebach,50.7667,7.7833
altenbruch,53.8167,8.7667
altenbuch,48.1833,12.7
altenbucken,52.7833,9.15
altenburg,50.9833,12.45
altenburger land,50.96,12.42
altencelle,52.6,10.1167
altendambach,50.5667,10.7167
altendettelsau,49.3,10.7667
altendiez,50.3667,7.9833
altendorf,50.6,7.0167
altenerding,48.3,11.9167
altenesch,53.1333,8.6167
altenessen,51.4833,7
altenfeld,51.25,8.4333
altenfelde,53.7,10.35
altenfelden,49.2667,11.2167
altenfurt,48.55,11.2833
altengeseke,51.5667,8.25
altenglan,49.55,7.4667
altengonna,50.9833,11.5667
altengors,53.9,10.2
